time_iso8601,forks_cumulative
2026-02-19 00:00:00+00:00,1
2026-02-24 00:00:00+00:00,2
2026-02-25 00:00:00+00:00,6
2026-03-04 00:00:00+00:00,7
2026-03-07 00:00:00+00:00,8
2026-03-12 00:00:00+00:00,9
2026-03-13 00:00:00+00:00,10
2026-03-16 00:00:00+00:00,11
2026-03-18 00:00:00+00:00,12
2026-03-20 00:00:00+00:00,14
2026-03-27 00:00:00+00:00,15
2026-03-28 00:00:00+00:00,16
2026-04-03 00:00:00+00:00,17
2026-04-04 00:00:00+00:00,18
2026-04-05 00:00:00+00:00,19
2026-04-08 00:00:00+00:00,21
2026-04-10 00:00:00+00:00,22
2026-04-11 00:00:00+00:00,23
2026-04-15 00:00:00+00:00,24
2026-04-16 00:00:00+00:00,25
2026-04-17 00:00:00+00:00,26
2026-04-18 00:00:00+00:00,28
2026-04-19 00:00:00+00:00,29
2026-04-20 00:00:00+00:00,30
2026-04-21 00:00:00+00:00,31
2026-04-22 00:00:00+00:00,32
2026-04-23 00:00:00+00:00,33
