time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-28 00:00:00+00:00,84,32,154,54
2026-03-01 00:00:00+00:00,37,27,50,30
2026-03-02 00:00:00+00:00,60,48,230,76
2026-03-03 00:00:00+00:00,87,38,155,56
2026-03-04 00:00:00+00:00,32,29,208,59
2026-03-05 00:00:00+00:00,124,61,295,68
2026-03-06 00:00:00+00:00,136,52,182,75
2026-03-07 00:00:00+00:00,81,43,63,26
2026-03-08 00:00:00+00:00,70,40,135,40
2026-03-09 00:00:00+00:00,53,40,328,105
2026-03-10 00:00:00+00:00,124,65,370,104
2026-03-11 00:00:00+00:00,158,77,516,91
2026-03-12 00:00:00+00:00,204,101,366,101
2026-03-13 00:00:00+00:00,112,72,418,97
