url_path,views_total,views_unique
/microsoft/power-platform-skills,1220,749
/microsoft/power-platform-skills/tree/main/plugins,230,148
/microsoft/power-platform-skills/tree/main/plugins/model-apps,207,119
/microsoft/power-platform-skills/tree/main,206,96
/microsoft/power-platform-skills/tree/main/plugins/power-pages,139,81
/microsoft/power-platform-skills/tree/main/.claude,94,79
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,79,63
/microsoft/power-platform-skills/blob/main/AGENTS.md,77,61
/microsoft/power-platform-skills/tree/main/.claude-plugin,76,56
/microsoft/power-platform-skills/blob/main/CLAUDE.md,74,44
