time_iso8601,stars_cumulative
2026-02-18 00:00:00+00:00,1
2026-02-19 00:00:00+00:00,5
2026-02-20 00:00:00+00:00,6
2026-02-21 00:00:00+00:00,7
2026-02-23 00:00:00+00:00,8
2026-02-24 00:00:00+00:00,10
2026-02-25 00:00:00+00:00,19
2026-02-26 00:00:00+00:00,23
2026-02-27 00:00:00+00:00,24
2026-03-02 00:00:00+00:00,27
2026-03-04 00:00:00+00:00,29
2026-03-05 00:00:00+00:00,30
2026-03-06 00:00:00+00:00,31
2026-03-07 00:00:00+00:00,32
2026-03-08 00:00:00+00:00,35
2026-03-09 00:00:00+00:00,36
2026-03-10 00:00:00+00:00,37
2026-03-11 00:00:00+00:00,39
2026-03-12 00:00:00+00:00,42
2026-03-13 00:00:00+00:00,44
2026-03-14 00:00:00+00:00,45
2026-03-16 00:00:00+00:00,47
2026-03-18 00:00:00+00:00,51
2026-03-19 00:00:00+00:00,53
2026-03-20 00:00:00+00:00,56
2026-03-23 00:00:00+00:00,59
2026-03-24 00:00:00+00:00,64
2026-03-25 00:00:00+00:00,67
2026-03-26 00:00:00+00:00,72
2026-03-27 00:00:00+00:00,76
2026-03-28 00:00:00+00:00,81
2026-03-29 00:00:00+00:00,83
2026-03-30 00:00:00+00:00,90
2026-03-31 00:00:00+00:00,92
2026-04-01 00:00:00+00:00,95
2026-04-02 00:00:00+00:00,97
2026-04-03 00:00:00+00:00,109
2026-04-04 00:00:00+00:00,115
2026-04-05 00:00:00+00:00,121
2026-04-07 00:00:00+00:00,125
2026-04-08 00:00:00+00:00,130
2026-04-09 00:00:00+00:00,135
2026-04-10 00:00:00+00:00,137
